complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified as Flooding and marked Urgent because description contains 'ambulance': ""Underpass flooded after 1hr rain. Ambulance diverted. Lives at risk."".",
GH-202402,Drain Blockage,Standard,"Classified as Drain Blockage based on keyword 'drain completely blocked' in: ""Market area flooded. Traders suffering losses. Drain completely blocked."".",NEEDS_REVIEW
GH-202406,Drain Blockage,Standard,"Classified as Drain Blockage based on keyword 'drain 100% blocked' in: ""Main stormwater drain 100% blocked with construction debris."".",
GH-202407,Drain Blockage,Standard,"Classified as Drain Blockage based on keyword 'drain blocked' in: ""Drain blocked and mosquito breeding. Dengue concern."".",
GH-202410,Pothole,Standard,"Classified as Pothole based on keyword 'potholes' in: ""Potholes causing vehicles to slow to 20kmph on fast road."".",
GH-202411,Pothole,Urgent,"Classified as Pothole and marked Urgent because description contains 'hospital': ""Pothole swallowed entire motorcycle wheel. Rider hospitalised."".",
GH-202412,Pothole,Urgent,"Classified as Pothole and marked Urgent because description contains 'school': ""School bus struggling to navigate 6 potholes in 200m stretch."".",
GH-202417,Heritage Damage,Standard,"Classified as Heritage Damage based on keyword 'heritage' in: ""Heritage zone garbage overflow. Tourist photographs showing piles of waste."".",NEEDS_REVIEW
GH-202420,Noise,Standard,"Classified as Noise based on keyword 'drilling' in: ""Construction drilling from 5am daily near residential towers."".",
GH-202422,Road Damage,Urgent,"Classified as Road Damage and marked Urgent because description contains 'collapse': ""Road collapsed partially. Crater 1m deep near residential gate."".",
GH-202424,Flooding,Standard,"Classified as Flooding based on keyword 'floods' in: ""Underpass floods in light rain. Cars regularly abandoned."".",
GH-202428,Waste,Standard,"Classified as Waste based on keyword 'waste' in: ""Post-market waste not cleared. Area unusable by Sunday morning."".",
GH-202432,Noise,Standard,"Classified as Noise based on keyword 'idling' in: ""24hr supermarket delivery trucks idling with engines on."".",
GH-202448,Drain Blockage,Standard,"Classified as Drain Blockage based on keyword 'drain blocked' in: ""Main drain blocked — entire locality at flooding risk this week."".",NEEDS_REVIEW
GH-202438,Flooding,Standard,"Classified as Flooding based on keyword 'rainwater' in: ""Colony surrounded by fields that channel rainwater through main road."".",
